=== MAT.ALG.FUNC_CUADR_BASE - Definición y elementos básicos (8 recursos) ===
MAT.ALG.FUNC_CUADR_BASE.DEFINICION | Definición de función cuadrática
MAT.ALG.FUNC_CUADR_BASE.NOTACION_FUNCIONAL | Uso de la notación funcional f(x) en una función cuadrática
MAT.ALG.FUNC_CUADR_BASE.FORMA_GENERAL | Reconocimiento de la forma general f(x) = ax² + bx + c
MAT.ALG.FUNC_CUADR_BASE.CONDICION_A_NO_CERO | Condición a ≠ 0 para que la función sea cuadrática
MAT.ALG.FUNC_CUADR_BASE.PARAMETRO_A | Identificación del coeficiente cuadrático a en la expresión funcional
MAT.ALG.FUNC_CUADR_BASE.PARAMETRO_B | Identificación del coeficiente lineal b en la expresión funcional
MAT.ALG.FUNC_CUADR_BASE.PARAMETRO_C | Identificación del término independiente c en la expresión funcional
MAT.ALG.FUNC_CUADR_BASE.DOMINIO_REALES | Determinación del dominio real de una función cuadrática
=== MAT.ALG.FUNC_CUADR_FORMAS - Formas de la función cuadrática (9 recursos) ===
MAT.ALG.FUNC_CUADR_FORMAS.FORMA_CANONICA | Reconocimiento de la forma canónica f(x) = a(x - h)² + k
MAT.ALG.FUNC_CUADR_FORMAS.PARAMETROS_CANONICA | Identificación de los parámetros a, h y k en la forma canónica
MAT.ALG.FUNC_CUADR_FORMAS.EXTRACCION_VERTICE | Extracción directa del vértice desde la forma canónica
MAT.ALG.FUNC_CUADR_FORMAS.COMPLETACION_CUADRADO | Obtención de la forma canónica completando el cuadrado
MAT.ALG.FUNC_CUADR_FORMAS.FORMA_FACTORIZADA | Reconocimiento de la forma factorizada de una función cuadrática
MAT.ALG.FUNC_CUADR_FORMAS.EXTRACCION_CEROS_FACTORIZADA | Extracción de los ceros de la función desde la forma factorizada
MAT.ALG.FUNC_CUADR_FORMAS.CANONICA_A_GENERAL | Conversión de la forma canónica a la forma general
MAT.ALG.FUNC_CUADR_FORMAS.FACTORIZADA_A_GENERAL | Conversión de la forma factorizada a la forma general
MAT.ALG.FUNC_CUADR_FORMAS.ELECCION_FORMA | Elección de la forma más conveniente de la función según la información disponible
=== MAT.ALG.FUNC_CUADR_GRAFICA - Análisis gráfico: parábola, concavidad e intersecciones (9 recursos) ===
MAT.ALG.FUNC_CUADR_GRAFICA.PARABOLA | Reconocimiento de la parábola como gráfica de una función cuadrática
MAT.ALG.FUNC_CUADR_GRAFICA.TABLA_VALORES | Construcción de una tabla de valores para graficar una función cuadrática
MAT.ALG.FUNC_CUADR_GRAFICA.CONSTRUCCION_PUNTOS | Construcción de la gráfica de una función cuadrática a partir de puntos
MAT.ALG.FUNC_CUADR_GRAFICA.CONCAVIDAD_SIGNO_A | Análisis de la concavidad de la parábola según el signo de a
MAT.ALG.FUNC_CUADR_GRAFICA.INTERSECCION_Y | Cálculo de la intersección de la parábola con el eje Y
MAT.ALG.FUNC_CUADR_GRAFICA.CEROS_CONCEPTO | Interpretación de los ceros de la función como intersecciones con el eje X
MAT.ALG.FUNC_CUADR_GRAFICA.CEROS_CALCULO | Determinación de los ceros resolviendo la ecuación cuadrática asociada
MAT.ALG.FUNC_CUADR_GRAFICA.CANTIDAD_INTERSECCIONES_X | Determinación de la cantidad de intersecciones con el eje X usando el discriminante
MAT.ALG.FUNC_CUADR_GRAFICA.SIGNO_FUNCION | Lectura del signo de la función cuadrática a partir de su gráfica
=== MAT.ALG.FUNC_CUADR_MODELO - Modelamiento y aplicaciones (8 recursos) ===
MAT.ALG.FUNC_CUADR_MODELO.RECONOCIMIENTO_MODELO | Reconocimiento de situaciones que pueden modelarse mediante una función cuadrática
MAT.ALG.FUNC_CUADR_MODELO.PLANTEO_FUNCION | Planteamiento de una función cuadrática a partir de un problema contextualizado
MAT.ALG.FUNC_CUADR_MODELO.TRAYECTORIA_PROYECTIL | Resolución de problemas de trayectoria de proyectiles usando funciones cuadráticas
MAT.ALG.FUNC_CUADR_MODELO.PROBLEMAS_AREAS | Resolución de problemas de áreas usando funciones cuadráticas
MAT.ALG.FUNC_CUADR_MODELO.OPTIMIZACION | Optimización de una función cuadrática para hallar valores máximos o mínimos
MAT.ALG.FUNC_CUADR_MODELO.INTERPRETACION_VERTICE_CONTEXTO | Interpretación contextual del vértice en problemas de máximo o mínimo
MAT.ALG.FUNC_CUADR_MODELO.INTERPRETACION_CEROS_CONTEXTO | Interpretación contextual de los ceros de una función cuadrática
MAT.ALG.FUNC_CUADR_MODELO.VALIDEZ_DOMINIO_CONTEXTO | Evaluación de la validez del dominio según las restricciones del contexto
=== MAT.ALG.FUNC_CUADR_TRANSFORMACIONES - Traslaciones y transformaciones (7 recursos) ===
MAT.ALG.FUNC_CUADR_TRANSFORMACIONES.TRASLACION_HORIZONTAL | Descripción de la traslación horizontal de la parábola en el plano
MAT.ALG.FUNC_CUADR_TRANSFORMACIONES.SIGNO_TRASLACION_HORIZONTAL | Interpretación del signo de h en la traslación horizontal
MAT.ALG.FUNC_CUADR_TRANSFORMACIONES.TRASLACION_VERTICAL | Descripción de la traslación vertical de la parábola en el plano
MAT.ALG.FUNC_CUADR_TRANSFORMACIONES.REFLEXION_EJE_X | Análisis de la reflexión de la gráfica respecto del eje X
MAT.ALG.FUNC_CUADR_TRANSFORMACIONES.ESCALA_VERTICAL | Análisis de la dilatación o contracción vertical de la parábola según el valor absoluto de a
MAT.ALG.FUNC_CUADR_TRANSFORMACIONES.EFECTO_PARAMETRO_A | Relación entre el parámetro a, la concavidad y la abertura de la parábola
MAT.ALG.FUNC_CUADR_TRANSFORMACIONES.COMBINACION_TRANSFORMACIONES | Análisis de transformaciones combinadas en la gráfica cuadrática
=== MAT.ALG.FUNC_CUADR_VERTICE - El vértice, el eje de simetría y el recorrido (6 recursos) ===
MAT.ALG.FUNC_CUADR_VERTICE.VERTICE_CONCEPTO | Identificación del vértice como punto extremo de la parábola
MAT.ALG.FUNC_CUADR_VERTICE.EJE_SIMETRIA | Cálculo de la ecuación del eje de simetría de la parábola
MAT.ALG.FUNC_CUADR_VERTICE.COORDENADAS_VERTICE | Determinación de las coordenadas del vértice mediante fórmulas algebraicas
MAT.ALG.FUNC_CUADR_VERTICE.MAXIMO_MINIMO | Identificación del vértice como máximo o mínimo según la concavidad
MAT.ALG.FUNC_CUADR_VERTICE.VALOR_EXTREMO | Interpretación del valor extremo de la función cuadrática
MAT.ALG.FUNC_CUADR_VERTICE.RECORRIDO_DESDE_VERTICE | Determinación del recorrido de la función cuadrática a partir del vértice y la concavidad
