=== MAT.ALG.FUNC_EXPONENCIAL_BASE - Conceptos de la función exponencial (10 recursos) ===
MAT.ALG.FUNC_EXPONENCIAL_BASE.DEFINICION | Definición de función exponencial
MAT.ALG.FUNC_EXPONENCIAL_BASE.FORMA_GENERAL | Reconocimiento de la forma general f(x) = a·b^x
MAT.ALG.FUNC_EXPONENCIAL_BASE.CONDICION_BASE | Condición de base positiva y distinta de uno en una función exponencial
MAT.ALG.FUNC_EXPONENCIAL_BASE.PARAMETRO_ESCALA | Identificación del parámetro multiplicativo a en la función exponencial
MAT.ALG.FUNC_EXPONENCIAL_BASE.PARAMETRO_BASE | Identificación de la base b en la función exponencial
MAT.ALG.FUNC_EXPONENCIAL_BASE.DOMINIO | Determinación del dominio real de la función exponencial
MAT.ALG.FUNC_EXPONENCIAL_BASE.RECORRIDO_BASE | Determinación del recorrido de la función exponencial básica
MAT.ALG.FUNC_EXPONENCIAL_BASE.INTERCEPTO_Y | Cálculo del intercepto de la gráfica exponencial con el eje Y
MAT.ALG.FUNC_EXPONENCIAL_BASE.ASINTOTA_HORIZONTAL | Identificación de la asíntota horizontal de la función exponencial básica
MAT.ALG.FUNC_EXPONENCIAL_BASE.VALOR_INICIAL | Interpretación del valor inicial de una función exponencial en contexto
=== MAT.ALG.FUNC_EXPONENCIAL_GRAFICA - Análisis gráfico y modelamiento exponencial (10 recursos) ===
MAT.ALG.FUNC_EXPONENCIAL_GRAFICA.TABLA_VALORES | Construcción de una tabla de valores para graficar una función exponencial
MAT.ALG.FUNC_EXPONENCIAL_GRAFICA.CRECIMIENTO_BASE_MAYOR_UNO | Análisis del crecimiento exponencial para bases mayores que uno
MAT.ALG.FUNC_EXPONENCIAL_GRAFICA.DECRECIMIENTO_BASE_ENTRE_CERO_UNO | Análisis del decrecimiento exponencial para bases entre cero y uno
MAT.ALG.FUNC_EXPONENCIAL_GRAFICA.MONOTONIA | Determinación de la monotonía de una función exponencial según su base
MAT.ALG.FUNC_EXPONENCIAL_GRAFICA.TRASLACION_VERTICAL | Efecto de una traslación vertical en la gráfica exponencial
MAT.ALG.FUNC_EXPONENCIAL_GRAFICA.ASINTOTA_TRANSFORMADA | Identificación de la asíntota horizontal en funciones exponenciales trasladadas
MAT.ALG.FUNC_EXPONENCIAL_GRAFICA.MODELO_CRECIMIENTO | Modelamiento de crecimiento poblacional mediante funciones exponenciales
MAT.ALG.FUNC_EXPONENCIAL_GRAFICA.INTERES_COMPUESTO | Aplicación de la función exponencial en problemas de interés compuesto
MAT.ALG.FUNC_EXPONENCIAL_GRAFICA.MODELO_DECRECIMIENTO | Modelamiento de fenómenos de decaimiento mediante funciones exponenciales
MAT.ALG.FUNC_EXPONENCIAL_GRAFICA.ECUACIONES_IGUAL_BASE | Resolución de ecuaciones exponenciales mediante igualación de bases
=== MAT.ALG.FUNC_LOGARITMICA_BASE - Análisis de la función logarítmica (13 recursos) ===
MAT.ALG.FUNC_LOGARITMICA_BASE.DEFINICION | Definición de función logarítmica
MAT.ALG.FUNC_LOGARITMICA_BASE.FORMA_GENERAL | Reconocimiento de la forma general f(x) = log_b(x)
MAT.ALG.FUNC_LOGARITMICA_BASE.CONDICION_BASE | Condición de base positiva y distinta de uno en la función logarítmica
MAT.ALG.FUNC_LOGARITMICA_BASE.DOMINIO | Determinación del dominio de la función logarítmica
MAT.ALG.FUNC_LOGARITMICA_BASE.RECORRIDO | Determinación del recorrido de la función logarítmica
MAT.ALG.FUNC_LOGARITMICA_BASE.ASINTOTA_VERTICAL | Identificación de la asíntota vertical de la función logarítmica básica
